step,day,hour,indoor_temp,outdoor_temp,occupancy,action,energy_kwh,carbon_kg,temp_deviation,comfort_violation,temp_delta,hour_sin,hour_cos,is_business_hours,cumulative_energy,comfort_cost
0,0,0.0,0.37857142857142856,0.6513157894736843,0,2,0.5789473684210527,0.5789473684210527,0.011363636363636364,0,0.2756082907780114,0.0,1.0,0,0.011282051282051283,0.0
1,0,0.25,0.33571428571428574,0.6473285486443381,0,2,0.5789473684210527,0.5789473684210527,0.05681818181818182,0,0.25608290778011417,0.06540312923014306,0.9978589232386035,0,0.022564102564102566,0.0
2,0,0.5,0.37942857142857145,0.7966507177033494,0,3,0.9999999999999999,1.0,0.01272727272727278,0,0.16656653649744674,0.13052619222005157,0.9914448613738104,0,0.04205128205128205,0.0
3,0,0.75,0.37942857142857145,0.6883971291866029,0,0,0.0,0.0,0.01272727272727278,0,0.2481225593271253,0.19509032201612825,0.9807852804032304,0,0.04205128205128205,0.0
4,0,1.0,0.2608571428571428,0.6568979266347688,0,2,0.5789473684210527,0.5789473684210527,0.17590909090909096,0,0.20952237909282068,0.25881904510252074,0.9659258262890683,0,0.05333333333333334,0.0
5,0,1.25,0.20857142857142857,0.6638755980861244,0,3,0.9999999999999999,1.0,0.25909090909090904,0,0.1767798137578853,0.3214394653031616,0.9469301294951057,0,0.07282051282051281,0.0
6,0,1.5,0.23142857142857143,0.6720494417862839,0,0,0.0,0.0,0.22272727272727266,0,0.18263742865725446,0.3826834323650898,0.9238795325112867,0,0.07282051282051281,0.0
7,0,1.75,0.1865714285714286,0.6879984051036683,0,3,0.9999999999999999,1.0,0.29409090909090907,0,0.14704115349954944,0.44228869021900125,0.8968727415326884,0,0.09230769230769231,0.0
8,0,2.0,0.21085714285714285,0.6722488038277512,0,0,0.0,0.0,0.2554545454545455,0,0.171673175127666,0.49999999999999994,0.8660254037844387,0,0.09230769230769231,0.0
9,0,2.25,0.19514285714285712,0.6762360446570974,0,2,0.5789473684210527,0.5789473684210527,0.28045454545454557,0,0.16040853109041753,0.5555702330196022,0.8314696123025452,0,0.10358974358974359,0.0
10,0,2.5,0.15857142857142859,0.7033492822966507,0,3,0.9999999999999999,1.0,0.3386363636363636,0,0.12075698407930313,0.6087614290087207,0.7933533402912352,0,0.12307692307692308,0.0
11,0,2.75,0.1934285714285714,0.703548644338118,0,0,0.0,0.0,0.2831818181818182,0,0.13893060979273059,0.6593458151000688,0.7518398074789774,0,0.12307692307692308,0.0
12,0,3.0,0.18000000000000005,0.7069377990430622,0,2,0.5789473684210527,0.5789473684210527,0.3045454545454545,0,0.12931811354761194,0.7071067811865476,0.7071067811865476,0,0.13435897435897434,0.0
13,0,3.25,0.17085714285714287,0.7069377990430622,0,2,0.5789473684210527,0.5789473684210527,0.3190909090909091,0,0.1245118654250526,0.7518398074789774,0.6593458151000688,0,0.14564102564102563,0.0
14,0,3.5,0.18828571428571428,0.7424242424242424,0,1,0.2631578947368421,0.2631578947368421,0.2913636363636364,0,0.10693902072694511,0.7933533402912352,0.6087614290087207,0,0.15076923076923077,0.0
15,0,3.75,0.1825714285714286,0.7200956937799043,0,2,0.5789473684210527,0.5789473684210527,0.3004545454545454,0,0.12075698407930313,0.8314696123025451,0.5555702330196024,0,0.16205128205128205,0.0
16,0,4.0,0.20514285714285713,0.7452153110047847,0,1,0.2631578947368421,0.2631578947368421,0.2645454545454546,0,0.11369780714929414,0.8660254037844386,0.5000000000000001,0,0.1671794871794872,0.0
17,0,4.25,0.37942857142857145,0.7370414673046252,0,0,0.0,0.0,0.01272727272727278,0,0.21147491739261046,0.8968727415326884,0.44228869021900125,0,0.1671794871794872,0.0
18,0,4.5,0.22857142857142854,0.7557814992025519,0,2,0.5789473684210527,0.5789473684210527,0.2272727272727273,0,0.11805346951036352,0.9238795325112867,0.38268343236508984,0,0.17846153846153845,0.0
19,0,4.75,0.24685714285714289,0.7583732057416268,0,1,0.2631578947368421,0.2631578947368421,0.19818181818181815,0,0.12571342745569247,0.9469301294951056,0.3214394653031617,0,0.1835897435897436,0.0
20,0,5.0,0.2757142857142857,0.7533891547049442,0,0,0.0,0.0,0.15227272727272734,0,0.14463802943826978,0.9659258262890683,0.25881904510252074,0,0.1835897435897436,0.0
21,0,5.25,0.26914285714285724,0.7799043062200958,0,2,0.5789473684210527,0.5789473684210527,0.16272727272727266,0,0.12120756984079309,0.9807852804032304,0.19509032201612833,0,0.19487179487179487,0.0
22,0,5.5,0.2857142857142857,0.7876794258373206,0,1,0.2631578947368421,0.2631578947368421,0.13636363636363635,0,0.12406127966356265,0.9914448613738104,0.1305261922200517,0,0.2,0.0
23,0,5.75,0.31514285714285717,0.7876794258373206,0,0,0.0,0.0,0.0895454545454545,0,0.1395313908080505,0.9978589232386035,0.06540312923014327,0,0.2,0.0
24,0,6.0,0.30228571428571427,0.7814992025518341,0,2,0.5789473684210527,0.5789473684210527,0.11000000000000008,0,0.1374286572544308,1.0,6.123233995736766e-17,0,0.2112820512820513,0.0
25,0,6.25,0.2974285714285714,0.826555023923445,0,2,0.5789473684210527,0.5789473684210527,0.11772727272727272,0,0.1009312105737459,0.9978589232386035,-0.06540312923014314,0,0.22256410256410256,0.0
26,0,6.5,0.2688571428571429,0.8110047846889953,0,3,0.9999999999999999,1.0,0.16318181818181818,0,0.09762691498948639,0.9914448613738104,-0.1305261922200516,0,0.24205128205128207,0.0
27,0,6.75,0.26342857142857135,0.7952551834130782,0,2,0.5789473684210527,0.5789473684210527,0.17181818181818187,0,0.1066386302192851,0.9807852804032304,-0.1950903220161282,0,0.2533333333333333,0.0
28,0,7.0,0.2628571428571428,0.8080143540669857,0,2,0.5789473684210527,0.5789473684210527,0.17272727272727276,0,0.09672574346650648,0.9659258262890683,-0.25881904510252063,0,0.26461538461538464,0.0
29,0,7.25,0.2648571428571428,0.8395135566188198,0,2,0.5789473684210527,0.5789473684210527,0.16954545454545458,0,0.07404626013817969,0.9469301294951057,-0.3214394653031616,0,0.2758974358974359,0.0
30,0,7.5,0.2954285714285714,0.8498803827751197,0,1,0.2631578947368421,0.2631578947368421,0.12090909090909092,0,0.08230699909882849,0.9238795325112868,-0.3826834323650895,0,0.28102564102564104,0.0
31,0,7.75,0.2977142857142857,0.8604465709728867,0,2,0.5789473684210527,0.5789473684210527,0.1172727272727272,0,0.07554821267647954,0.8968727415326884,-0.44228869021900113,0,0.2923076923076923,0.0
32,0,8.0,0.3334285714285715,0.847488038277512,0,1,0.2631578947368421,0.2631578947368421,0.06045454545454538,0,0.10408531090417553,0.8660254037844387,-0.4999999999999998,0,0.29743589743589743,0.0
33,0,8.25,0.36742857142857144,0.8658293460925041,0,1,0.2631578947368421,0.2631578947368421,0.00636363636363639,0,0.1081405827575849,0.8314696123025451,-0.5555702330196023,0,0.30256410256410254,0.0
34,0,8.5,0.4017142857142857,0.7966507177033494,0,1,0.2631578947368421,0.2631578947368421,0.048181818181818124,0,0.17828176629618503,0.7933533402912352,-0.6087614290087207,0,0.3076923076923077,0.0
35,0,8.75,0.42485714285714293,0.8670255183413079,0,1,0.2631578947368421,0.2631578947368421,0.08500000000000005,0,0.1374286572544308,0.7518398074789774,-0.6593458151000688,0,0.3128205128205128,0.0
36,0,9.0,0.4868571428571429,0.8823763955342903,1,0,0.0,0.0,0.1836363636363636,1,0.1584559927906279,0.7071067811865476,-0.7071067811865475,1,0.3128205128205128,0.1836363636363636
37,0,9.25,0.49742857142857144,0.8973285486443381,1,2,0.5789473684210527,0.5789473684210527,0.20045454545454547,1,0.1527485731450887,0.659345815100069,-0.7518398074789773,1,0.3241025641025641,0.20045454545454547
38,0,9.5,0.51,0.8925438596491229,1,2,0.5789473684210527,0.5789473684210527,0.22045454545454551,1,0.1629618504055272,0.6087614290087209,-0.793353340291235,1,0.3353846153846154,0.22045454545454551
39,0,9.75,0.5637142857142857,0.92085326953748,1,0,0.0,0.0,0.30590909090909096,1,0.16987083208170628,0.5555702330196025,-0.831469612302545,1,0.3353846153846154,0.30590909090909096
